ICD-9-CM CODE,CCS CATEGORY,CCS CATEGORY DESCRIPTION,ICD-9-CM CODE DESCRIPTION
00.56,48,Pacemaker,INS/REP IMPL SENSOR LEAD (Begin 2006)
00.57,48,Pacemaker,IMP/REP SUBCUE CARD DEV (Begin 2006)
17.51,48,Pacemaker,Implant CCM
17.52,48,Pacemaker,Implant CCM pulse genrtr (Begin 2009)
37.70,48,Pacemaker,INT INSERT PACEMAK LEAD (Begin 1987)
37.71,48,Pacemaker,INT INSERT LEAD IN VENT (Begin 1987)
37.72,48,Pacemaker,INT INSER LEAD ATRI-VENT (Begin 1987)
37.73,48,Pacemaker,INT INSER LEAD IN ATRIUM (Begin 1987)
37.74,48,Pacemaker,INT OR REPL LEAD EPICAR (Begin 1987)
37.75,48,Pacemaker,REVISION OF LEAD (Begin 1987)
37.76,48,Pacemaker,REPL TV ATRI-VENT LEAD (Begin 1987)
37.77,48,Pacemaker,REMOVAL OF LEAD W/O REPL (Begin 1987)
37.78,48,Pacemaker,INSER TEMP PACEMAKER SYS (Begin 1987)
37.79,48,Pacemaker,REVIS OR RELOCATE POCKET (Begin 1987)
37.80,48,Pacemaker,INT OR REPL PERM PACEMKR (Begin 1987)
37.81,48,Pacemaker,INT INSERT 1-CHAM; NON (Begin 1987)
37.82,48,Pacemaker,INT INSERT 1-CHAM; RATE (Begin 1987)
37.83,48,Pacemaker,INT INSERT DUAL-CHAM DEV (Begin 1987)
37.85,48,Pacemaker,REPL PACEM W 1-CHAM; NON (Begin 1987)
37.86,48,Pacemaker,REPL PACEM 1-CHAM; RATE (Begin 1987)
37.87,48,Pacemaker,REPL PACEM W DUAL-CHAM (Begin 1987)
37.89,48,Pacemaker,REVISE OR REMOVE PACEMAK (Begin 1987)
37.94,48,Pacemaker,IMPLT/REPL CARDDEFIB TOT (Begin 1986)
37.95,48,Pacemaker,IMPLT CARDIODEFIB LEADS (Begin 1986)
37.96,48,Pacemaker,IMPLT CARDIODEFIB GENATR (Begin 1986)
37.97,48,Pacemaker,REPL CARDIODEFIB LEADS (Begin 1986)
37.98,48,Pacemaker,REPL CARDIODEFIB GENRATR (Begin 1986)
35.31,49,Ot OR heart,PAPILLARY MUSCLE OPS
35.32,49,Ot OR heart,CHORDAE TENDINEAE OPS
35.33,49,Ot OR heart,ANNULOPLASTY
35.34,49,Ot OR heart,INFUNDIBULECTOMY
35.35,49,Ot OR heart,TRABECUL CARNEAE CORD OP
35.39,49,Ot OR heart,TISS ADJ TO VALV OPS NEC
35.41,49,Ot OR heart,ENLARGE EXISTING SEP DEF
35.42,49,Ot OR heart,CREATE SEPTAL DEFECT
35.50,49,Ot OR heart,PROSTH REP HRT SEPTA NOS
35.51,49,Ot OR heart,PROS REP ATRIAL DEF-OPN
35.52,49,Ot OR heart,PROS REPAIR ATRIA DEF-CL
35.53,49,Ot OR heart,PROST REPAIR VENTRIC DEF
35.54,49,Ot OR heart,PROS REP ENDOCAR CUSHION
35.55,49,Ot OR heart,PROS REP VENTRC DEF-CLOS (Begin 2006)
35.60,49,Ot OR heart,GRFT REPAIR HRT SEPT NOS
35.61,49,Ot OR heart,GRAFT REPAIR ATRIAL DEF
35.62,49,Ot OR heart,GRAFT REPAIR VENTRIC DEF
35.63,49,Ot OR heart,GRFT REP ENDOCAR CUSHION
35.70,49,Ot OR heart,HEART SEPTA REPAIR NOS
35.71,49,Ot OR heart,ATRIA SEPTA DEF REP NEC
35.72,49,Ot OR heart,VENTR SEPTA DEF REP NEC
35.73,49,Ot OR heart,ENDOCAR CUSHION REP NEC
35.81,49,Ot OR heart,TOT REPAIR TETRAL FALLOT
35.82,49,Ot OR heart,TOTAL REPAIR OF TAPVC
35.83,49,Ot OR heart,TOT REP TRUNCUS ARTERIOS
35.84,49,Ot OR heart,TOT COR TRANSPOS GRT VES (Begin 1988)
35.91,49,Ot OR heart,INTERAT VEN RETRN TRANSP
35.92,49,Ot OR heart,CONDUIT RT VENT-PUL ART
35.93,49,Ot OR heart,CONDUIT LEFT VENTR-AORTA
35.94,49,Ot OR heart,CONDUIT ARTIUM-PULM ART
35.95,49,Ot OR heart,HEART REPAIR REVISION
35.98,49,Ot OR heart,OTHER HEART SEPTA OPS
36.00,49,Ot OR heart,REM OBSTR NOS (Begin 1986 End 1991)
36.03,49,Ot OR heart,OPEN CORONRY ANGIOPLASTY (Begin 1986)
36.09,49,Ot OR heart,(OTH)REM COR ART OBST(NEC) (Begin 1986)
36.91,49,Ot OR heart,CORON VESS ANEURYSM REP
36.99,49,Ot OR heart,HEART VESSEL OP NEC
37.10,49,Ot OR heart,INCISION OF HEART NOS
37.11,49,Ot OR heart,CARDIOTOMY
37.12,49,Ot OR heart,PERICARDIOTOMY
37.31,49,Ot OR heart,PERICARDIECTOMY
37.32,49,Ot OR heart,HEART ANEURYSM EXCISION
37.33,49,Ot OR heart,EXC(/DEST) OTH HRT LESION (Begin 1988)
37.34,49,Ot OR heart,CATH ABLATION LES HEART (Begin 1988)
37.35,49,Ot OR heart,PARTIAL VENTRICULECTOMY (Begin 1997)
37.36,49,Ot OR heart,EXC LEFT ATRIAL APPENDAG (Begin 2008)
37.37,49,Ot OR heart,Exc/dest hrt les thrspc (Begin 2010)
37.4,49,Ot OR heart,HEART & PERICARD REPAIR
37.41,49,Ot OR heart,IMPL CARDIAC SUPPORT DEV (Begin 2005)
37.49,49,Ot OR heart,HEART/PERICARD REPR NEC (Begin 2005)
37.52,49,Ot OR heart,IMPLANTATION OF TOTAL REPLACEMENT HEART SYST (Begin 2003)
37.53,49,Ot OR heart,REPLACEMENT OR REPAIR OF THORACIC UNIT OF TO (Begin 2003)
37.54,49,Ot OR heart,REPLACEMENT OR REPAIR OF OTHER IMPLANTABLE C (Begin 2003)
37.55,49,Ot OR heart,REM INT BIVENT HRT SYS (Begin 2008)
37.60,49,Ot OR heart,IMP BIVN EXT HRT AST SYS (Begin 2008)
37.61,49,Ot OR heart,PULSATION BALLOON IMPLAN
37.62,49,Ot OR heart,IMPLANT HRT ASST SYS NEC
37.63,49,Ot OR heart,REPLACE HRT ASSIST SYST
37.64,49,Ot OR heart,REMOVE HEART ASSIST SYS
37.65,49,Ot OR heart,IMPL EXTERN HEART ASSIST (Begin 1995)
37.66,49,Ot OR heart,IMPL INTERN HEART ASSIST (Begin 1995)
37.67,49,Ot OR heart,IMPLANT CARDIOMYOSTIM SYS (Begin 1998)
37.68,49,Ot OR heart,PERCUTAN HRT ASSIST SYST (Begin 2004)
37.90,49,Ot OR heart,INS LEFT ATR APPEND DEV (Begin 2004)
37.91,49,Ot OR heart,OPN CHEST CARDIAC MASSAG
37.99,49,Ot OR heart,OTHER HEART/PERICARD OPS
39.61,50,Extrcor circ,EXTRACORPOREAL CIRCULAT
39.62,50,Extrcor circ,HYPOTHERMIA W OPEN HEART
39.63,50,Extrcor circ,CARDIOPLEGIA
39.64,50,Extrcor circ,INTRAOP CARDIAC PACEMAK
39.65,50,Extrcor circ,EXTRACORPOREAL MEMB OXY (Begin 1988)
39.66,50,Extrcor circ,PER CARDIOPULMON BYPASS (Begin 1990)
38.11,51,Endarterecto,ENDARTER INTRACRANIAL
38.12,51,Endarterecto,HEAD & NECK ENDARTER NEC
38.34,52,Aort resect,AORTA RESECTION & ANAST
38.44,52,Aort resect,RESECT ABDM AORTA W REPL (Begin 1986)
38.64,52,Aort resect,EXCISION OF AORTA
39.71,52,Aort resect,ENDOVASCULAR IMPLANT IN ABDM AORTA (Begin 2000)
39.73,52,Aort resect,ENDO IMP GRFT THOR AORTA (Begin 2005)
39.78,52,Aort resect,Endovas impln grft aorta (Begin 2011)
38.59,53,Varic vein,LEG VARICOS V LIGA-STRIP
38.91,54,Ot vasc cath,ARTERIAL CATHETERIZATION
38.92,54,Ot vasc cath,UMBILICAL VEIN CATH
38.93,54,Ot vasc cath,OTHER VENOUS CATH (NEC) (Begin 1989)
38.97,54,Ot vasc cath,CV cath plcmt w guidance (Begin 2010)
39.25,55,Peri vas byp,AORTA-ILIAC-FEMOR BYPASS
39.29,55,Peri vas byp,VASC SHUNT & BYPASS NEC
39.0,56,Ot vas byp,SYSTEMIC-PULM ART SHUNT
39.1,56,Ot vas byp,INTRA-ABD VENOUS SHUNT
39.21,56,Ot vas byp,CAVAL-PULMON ART ANASTOM
39.22,56,Ot vas byp,AORTA-SUBCLV-CAROT BYPAS
39.23,56,Ot vas byp,INTRATHORACIC SHUNT NEC
39.24,56,Ot vas byp,AORTA-RENAL BYPASS
39.26,56,Ot vas byp,INTRA-ABDOMIN SHUNT NEC
39.28,56,Ot vas byp,EXTRACRAN-INTRACR BYPASS (Begin 1991)
39.27,57,AV fistula,DIALYSIS ARTERIOVENOSTOM
39.42,57,AV fistula,REVIS REN DIALYSIS SHUNT
39.43,57,AV fistula,REMOV REN DIALYSIS SHUNT
39.93,57,AV fistula,INSERT VES-TO-VES CANNUL
39.95,58,Hemodialysis,HEMODIALYSIS
00.61,59,Vesl hed/nck,PERC ANGIO PRECEREB VESS (Begin 2004)
00.62,59,Vesl hed/nck,PERC ANGIO INTRACRAN VES (Begin 2004)
00.63,59,Vesl hed/nck,PERC INS CAROTID STENT (Begin 2004)
00.64,59,Vesl hed/nck,PERC INS PRECEREB STENT (Begin 2004)
00.65,59,Vesl hed/nck,PERC INS INTRACRAN STENT (Begin 2004)
17.53,59,Vesl hed/nck,Perc ather extracran vsl (Begin 2011)
17.54,59,Vesl hed/nck,Perc ather intracran vsl (Begin 2011)
38.01,59,Vesl hed/nck,INTRACRAN VESSEL INCIS
38.02,59,Vesl hed/nck,HEAD/NECK VES INCIS NEC
38.31,59,Vesl hed/nck,INTRACRAN VES RESEC-ANAS
38.32,59,Vesl hed/nck,HEAD/NECK VES RESEC-ANAS
38.41,59,Vesl hed/nck,INTRACRAN VES RESEC-REPL
38.42,59,Vesl hed/nck,HEAD/NECK VES RESEC-REPL
38.51,59,Vesl hed/nck,INTCRAN VAR V LIG-STRIP
38.52,59,Vesl hed/nck,HEAD/NECK VAR V LIG-STR
38.61,59,Vesl hed/nck,INTRACRAN VESSEL EXCIS
38.62,59,Vesl hed/nck,HEAD/NECK VESSEL EXCIS
38.81,59,Vesl hed/nck,OCCLUS INTRACRAN VES NEC
38.82,59,Vesl hed/nck,OCCLUS HEAD/NECK VES NEC
39.72,59,Vesl hed/nck,ENDOVAS REPAIR/OCCL HEAD & NECK VESSELS (Begin 2002)
39.74,59,Vesl hed/nck,ENDO REM OBS HD/NECK VES (Begin 2006)
39.75,59,Vesl hed/nck,Endo emb hd/nk
39.76,59,Vesl hed/nck,Endo em hd/nk
39.81,59,Vesl hed/nck,Imp crtd sinus stmtotl (Begin 2010)
39.82,59,Vesl hed/nck,Imp/rep crtd sinus lead (Begin 2010)
39.83,59,Vesl hed/nck,Imp/rep crtd sinus gnrtr (Begin 2010)
39.84,59,Vesl hed/nck,Rev crtd sinus stm leads (Begin 2010)
39.85,59,Vesl hed/nck,Rev crtd sinus pulse gen (Begin 2010)
39.86,59,Vesl hed/nck,Rem crtd sinus stm totl (Begin 2010)
39.87,59,Vesl hed/nck,Rem crtd sinus stm lead (Begin 2010)
39.88,59,Vesl hed/nck,Rem crtd sinus pulse gen (Begin 2010)
39.89,59,Vesl hed/nck,Oth cartd body/sinus op (Begin 2010)
38.08,60,Vessel leg,EMBOLECTOMY LEG VESSEL
38.18,60,Vessel leg,ENDARTERECTOMY LEG VESL
00.40,61,Ot vessels,PROCEDURE-ONE VESSEL (Begin 2005)
00.41,61,Ot vessels,PROCEDURE-TWO VESSELS (Begin 2005)
00.42,61,Ot vessels,PROCEDURE-THREE VESSELS (Begin 2005)
00.43,61,Ot vessels,PROCEDURE-FOUR+ VESSELS (Begin 2005)
00.44,61,Ot vessels,PROC-VESSEL BIFURCATION (Begin 2006)
00.45,61,Ot vessels,INSERT 1 VASCULAR STENT (Begin 2005)
00.46,61,Ot vessels,INSERT 2 VASCULAR STENTS (Begin 2005)
00.47,61,Ot vessels,INSERT 3 VASCULAR STENTS (Begin 2005)
00.48,61,Ot vessels,INSERT 4+ VASCULR STENTS (Begin 2005)
00.55,61,Ot vessels,INSERT DRUG-ELUTING NONCRNRY ARTRY STNT (Begin 2002)
17.56,61,Ot vessels,Ather oth non-cor vessel (Begin 2011)
17.71,61,Ot vessels,Non-coronary IFVA (Begin 2010)
38.00,61,Ot vessels,INCISION OF VESSEL NOS
38.03,61,Ot vessels,UPPER LIMB VESSEL INCIS
38.04,61,Ot vessels,INCISION OF AORTA
38.05,61,Ot vessels,THORACIC VESSEL INC NEC
38.06,61,Ot vessels,ABDOMEN ARTERY INCISION
38.07,61,Ot vessels,ABDOMINAL VEIN INCISION
38.09,61,Ot vessels,LOWER LIMB VEIN INCISION
38.10,61,Ot vessels,ENDARTERECTOMY NOS
38.13,61,Ot vessels,UPPER LIMB ENDARTERECTOM
38.14,61,Ot vessels,ENDARTERECTOMY OF AORTA
38.15,61,Ot vessels,THORACIC ENDARTERECTOMY
38.16,61,Ot vessels,ABDOMINAL ENDARTERECTOMY
38.30,61,Ot vessels,VESSEL RESECT/ANAST NOS
38.33,61,Ot vessels,ARM VESSEL RESECT/ANAST
38.35,61,Ot vessels,THOR VESSEL RESECT/ANAST
38.36,61,Ot vessels,ABD VESSEL RESECT/ANAST
38.37,61,Ot vessels,ABD VEIN RESECT & ANAST
38.38,61,Ot vessels,LEG ARTERY RESECT/ANAST
38.39,61,Ot vessels,LEG VEIN RESECT/ANASTOM
38.40,61,Ot vessels,VESSEL RESECT/REPLAC NOS
38.43,61,Ot vessels,ARM VES RESECT W REPLACE
38.45,61,Ot vessels,RESECT THORAC VES W REPL (Begin 1986)
38.46,61,Ot vessels,ABD ARTERY RESEC W REPLA
38.47,61,Ot vessels,ABD VEIN RESECT W REPLAC
38.48,61,Ot vessels,LEG ARTERY RESEC W REPLA
38.49,61,Ot vessels,LEG VEIN RESECT W REPLAC
38.50,61,Ot vessels,VARICOSE V LIG-STRIP NOS
38.53,61,Ot vessels,ARM VARICOSE V LIG-STRIP
38.55,61,Ot vessels,THORAC VAR V LIG-STRIP
38.57,61,Ot vessels,ABD VARICOS V LIGA-STRIP
38.60,61,Ot vessels,EXCISION OF VESSEL NOS
38.63,61,Ot vessels,ARM VESSEL EXCISION
38.65,61,Ot vessels,THORACIC VESSEL EXCISION
38.66,61,Ot vessels,ABDOMINAL ARTERY EXCIS
38.67,61,Ot vessels,ABDOMINAL VEIN EXCISION
38.68,61,Ot vessels,LEG ARTERY EXCISION
38.69,61,Ot vessels,LEG VEIN EXCISION
38.7,61,Ot vessels,INTERRUPTION VENA CAVA
38.80,61,Ot vessels,SURG VESSEL OCCLUS NEC
38.83,61,Ot vessels,OCCLUDE ARM VESSEL NEC
38.84,61,Ot vessels,OCCLUDE AORTA NEC
38.85,61,Ot vessels,OCCLUDE THORACIC VES NEC
38.86,61,Ot vessels,OCCLUDE ABD ARTERY NEC
38.87,61,Ot vessels,OCCLUDE ABD VEIN NEC
38.88,61,Ot vessels,OCCLUDE LEG ARTERY NEC
38.89,61,Ot vessels,OCCLUDE LEG VEIN NEC
39.30,61,Ot vessels,SUTURE OF VESSEL NOS
39.31,61,Ot vessels,SUTURE OF ARTERY
39.32,61,Ot vessels,SUTURE OF VEIN
39.41,61,Ot vessels,POSTOP VASC OP HEM CONTR
39.49,61,Ot vessels,VASC PROC REVISION NEC
39.50,61,Ot vessels,ANGIOPLAST/ATHERECT (Begin 1995)
39.51,61,Ot vessels,CLIPPING OF ANEURYSM
39.52,61,Ot vessels,ANEURYSM REPAIR NEC
39.53,61,Ot vessels,ARTERIOVEN FISTULA REP
39.54,61,Ot vessels,RE-ENTRY OPERATION
39.55,61,Ot vessels,REIMPLAN ABERR RENAL VES
39.56,61,Ot vessels,REPAIR VESS W TIS PATCH
39.57,61,Ot vessels,REP VESS W SYNTH PATCH
39.58,61,Ot vessels,REPAIR VESS W PATCH NOS
39.59,61,Ot vessels,REPAIR OF VESSEL NEC
39.7,61,Ot vessels,PERIARTER SYMPATHECTOMY
39.77,61,Ot vessels,Temp endovsc occls vessl (Begin 2011)
39.79,61,Ot vessels,OTHER ENDOVASCULAR REPAIR OF ANEURYSM (Begin 2000)
39.8,61,Ot vessels,VASCULAR BODY OPERATIONS (end 2010)
39.90,61,Ot vessels,INSERT NONCOR ART STENT (Begin 1996)
39.91,61,Ot vessels,FREEING OF VESSEL
39.92,61,Ot vessels,VEIN INJECT-SCLEROS AGNT
39.94,61,Ot vessels,REPLAC VES-TO-VES CANNUL
39.98,61,Ot vessels,HEMORRHAGE CONTROL NOS
39.99,61,Ot vessels,VESSEL OPERATION NEC
68.24,61,Ot vessels,Uterine art emb w coils (Begin 2011)
68.25,61,Ot vessels,Uterine art emb w/o coil (Begin 2011)
37.20,62,Ot Dx CV prs,NONINVAS ELECT STIMULATN (Begin 2006)
37.24,62,Ot Dx CV prs,PERICARDIAL BIOPSY
37.25,62,Ot Dx CV prs,CARDIAC BIOPSY
37.26,62,Ot Dx CV prs,CARDIAC ELECTROPHY STIM (Begin 1988)
37.27,62,Ot Dx CV prs,CARDIAC MAPPING (Begin 1988)
37.28,62,Ot Dx CV prs,INTRACARDIAC ECHOCARDIOGRAPHY (Begin 2001)
37.29,62,Ot Dx CV prs,HRT/PERICAR DX PROC NEC
38.21,62,Ot Dx CV prs,BLOOD VESSEL BIOPSY
38.22,62,Ot Dx CV prs,PERCUTANEOUS ANGIOSCOPY (Begin 1986)
38.26,62,Ot Dx CV prs,Insrt prsr snsr w/o lead (Begin 2011)
38.29,62,Ot Dx CV prs,BLOOD VESSEL DX PROC NEC
00.49,63,n-OR CV prs,SUPERSAT O2 THERAPY (Begin 2008)
00.60,63,n-OR CV prs,Ins d-e stnt sup fem art (Begin 2010)
36.06,63,n-OR CV prs,INSERT CORON ART STENT (Begin 1995)
36.07,63,n-OR CV prs,INSERT DRUG-ELUTING CRNRY ARTRY STNTS (Begin 2002)
37.0,63,n-OR CV prs,PERICARDIOCENTESIS
37.92,63,n-OR CV prs,INJECTION INTO HEART
37.93,63,n-OR CV prs,INJECTION INTO PERICARD
38.94,63,n-OR CV prs,VENOUS CUTDOWN
38.95,63,n-OR CV prs,VEN CATH RENAL DIALYSIS (Begin 1989)
39.96,63,n-OR CV prs,TOTAL BODY PERFUSION
39.97,63,n-OR CV prs,OTHER PERFUSION
97.44,63,n-OR CV prs,NONOP REMOVAL HEART ASSIST SYSTEM (Begin 2001)
41.0,64,Bon mar tran,BONE MARROW TRNSPLNT (Begin 1980 End 1988)
41.00,64,Bon mar tran,BONE MARROW TRNSPLNT NOS (Begin 1988)
41.01,64,Bon mar tran,AUT BONE MARROW TRNSPLNT (Begin 1988)
41.02,64,Bon mar tran,ALO BONE MARROW TRNSPLNT (Begin 1988)
41.03,64,Bon mar tran,ALLOGRFT BONE MARROW NOS (Begin 1988)
41.04,64,Bon mar tran,AUTOL HEMATOPO STEM CELL TRANSPLNT (Begin 1994)
41.05,64,Bon mar tran,ALLOGEN HEMATO STEM CELL TRANS (Begin 1997)
41.06,64,Bon mar tran,CORD BLOOD STEM CELL TRANS (Begin 1997)
41.07,64,Bon mar tran,AUTOL HEMAT STEM CELL TRANS W/PURGING (Begin 2000)
41.08,64,Bon mar tran,ALLOGEN HEMAT STEM CELL TRANS W/PURGING (Begin 2000)
41.09,64,Bon mar tran,AUTOL BONE MARROW TRANS W/PURGING (Begin 2000)
41.31,65,Bon mar bx,BONE MARROW BIOPSY
41.1,66,Prs spleen,PUNCTURE OF SPLEEN
41.2,66,Prs spleen,SPLENOTOMY
41.41,66,Prs spleen,SPLENIC CYST MARSUPIAL
41.42,66,Prs spleen,EXC SPLENIC LESION/TISS
41.43,66,Prs spleen,PARTIAL SPLENECTOMY
41.5,66,Prs spleen,TOTAL SPLENECTOMY
41.93,66,Prs spleen,EXC OF ACCESSORY SPLEEN
41.95,66,Prs spleen,REPAIR OF SPLEEN
41.99,66,Prs spleen,SPLEEN OPERATION NEC
40.0,67,Ot Rx hemic,INCIS LYMPHATIC STRUCTUR
40.11,67,Ot Rx hemic,LYMPHATIC STRUCT BIOPSY
40.19,67,Ot Rx hemic,LYMPHATIC DIAG PROC NEC
40.21,67,Ot Rx hemic,EXCIS DEEP CERVICAL NODE
40.22,67,Ot Rx hemic,EXCISE INT MAMMARY NODE
40.23,67,Ot Rx hemic,EXCISE AXILLARY NODE
40.24,67,Ot Rx hemic,EXCISE INGUINAL NODE
40.29,67,Ot Rx hemic,SIMP EXC LYMPH STRUC NEC
40.3,67,Ot Rx hemic,REGIONAL LYMPH NODE EXC
40.40,67,Ot Rx hemic,RAD NECK DISSECTION NOS
40.41,67,Ot Rx hemic,UNILAT RAD NECK DISSECT
40.42,67,Ot Rx hemic,BILAT RAD NECK DISSECT
40.50,67,Ot Rx hemic,RAD NODE DISSECTION NOS
40.51,67,Ot Rx hemic,RAD DISSEC AXILLARY NODE
40.52,67,Ot Rx hemic,RAD DISSEC PERIAORT NODE
40.53,67,Ot Rx hemic,RAD DISSECT ILIAC NODES
40.54,67,Ot Rx hemic,RADICAL GROIN DISSECTION
40.59,67,Ot Rx hemic,RAD NODE DISSECTION NEC
40.61,67,Ot Rx hemic,THORAC DUCT CANNULATION
40.62,67,Ot Rx hemic,THORACIC DUCT FISTULIZAT
40.63,67,Ot Rx hemic,CLOSE THORACIC DUCT FIST
40.64,67,Ot Rx hemic,LIGATE THORACIC DUCT
40.69,67,Ot Rx hemic,THORACIC DUCT OP NEC
40.9,67,Ot Rx hemic,LYMPH STRUCTURE OP NEC
41.32,67,Ot Rx hemic,CLOSED SPLEEN BIOPSY
41.33,67,Ot Rx hemic,OPEN SPLEEN BIOPSY
41.38,67,Ot Rx hemic,MARROW DIAGNOST PROC NEC
41.39,67,Ot Rx hemic,SPLEEN DIAGNOST PROC NEC
41.91,67,Ot Rx hemic,DONOR MARROW ASPIRATION
41.92,67,Ot Rx hemic,INJECTION INTO MARROW
41.98,67,Ot Rx hemic,BONE MARROW OPS NEC
42.91,68,Inject esop,(INJECT) LIG ESOPH VARIX (Begin 1990)
42.92,69,Esoph dilat,ESOPHAGEAL DILATION
42.23,70,UGI endosc,ESOPHAGOSCOPY NEC
42.24,70,UGI endosc,(CLOSED) BX OF ESOPHAGUS (Begin 1988)
44.13,70,UGI endosc,GASTROSCOPY NEC
44.14,70,UGI endosc,CLOSED GASTRIC BIOPSY
45.13,70,UGI endosc,SM BOWEL ENDOSCOPY NEC
45.14,70,UGI endosc,CLOS SMALL BOWEL BIOPSY
45.16,70,UGI endosc,EGD WITH CLOSED BIOPSY (Begin 1988)
43.1,71,Gastrostomy,TEMP GASTROSTOMY (Begin 1980 End 1989)
43.11,71,Gastrostomy,PERCU ENDOSC GASTROSTOMY (Begin 1989)
43.19,71,Gastrostomy,OTHER GASTROSTOMY (Begin 1989)
43.2,71,Gastrostomy,PERM GASTROSTOMY (Begin 1980 End 1989)
44.32,71,Gastrostomy,PERCUTANEOUS GASTROJEJUNOSTOMY (Begin 2001)
46.10,72,Colostomy,COLOSTOMY NOS
46.11,72,Colostomy,TEMPORARY COLOSTOMY
46.12,72,Colostomy,PERM MAGNETIC COLOSTOMY (End 1992)
46.13,72,Colostomy,PERMANENT COLOSTOMY NEC (Begin 1992)
46.14,72,Colostomy,DELAY OPENING COLOSTOMY
46.20,73,Ileostomy,ILEOSTOMY NOS
46.21,73,Ileostomy,TEMPORARY ILEOSTOMY
46.22,73,Ileostomy,CONTINENT ILEOSTOMY
46.23,73,Ileostomy,PERMANENT ILEOSTOMY NEC
46.24,73,Ileostomy,DELAY OPENING ILEOSTOMY
46.31,73,Ileostomy,DELAY OPENING ENTEROSTOM
46.32,73,Ileostomy,PERCU ENDOSC JEJUNOSTOMY (Begin 1989)
46.39,73,Ileostomy,ENTEROSTOMY NEC
43.5,74,Gastrectomy,PROXIMAL GASTRECTOMY
43.6,74,Gastrectomy,DISTAL GASTRECTOMY
43.7,74,Gastrectomy,PART GASTREC W JEJ ANAST
43.81,74,Gastrectomy,PART GAST W JEJ TRANSPOS
43.82,74,Gastrectomy,Lap vertical gastrectomy (Begin 2011)
43.89,74,Gastrectomy,PARTIAL GASTRECTOMY NEC
43.91,74,Gastrectomy,TOT GAST W INTES INTERPO
43.99,74,Gastrectomy,TOTAL GASTRECTOMY NEC
45.61,75,Sm bowel res,MULT SEG SM BOWEL EXCIS
45.62,75,Sm bowel res,PART SM BOWEL RESECT NEC
45.63,75,Sm bowel res,TOTAL REMOVAL SM BOWEL
45.23,76,Colonoscopy,COLONOSCOPY
45.24,76,Colonoscopy,OTH ENDOSCOPY LG BOWEL (Begin 1988)
45.25,76,Colonoscopy,CLOS LARGE BOWEL BIOPSY
48.23,77,Proctoscopy,(OTH) PROCTOSIGMOIDOSCOPY(Begin 1988)
48.24,77,Proctoscopy,CLOSED RECTAL BX
48.26,77,Proctoscopy,PERIRECTAL TISSUE BIOPSY
49.21,77,Proctoscopy,ANOSCOPY
49.22,77,Proctoscopy,PERIANAL BIOPSY
49.23,77,Proctoscopy,ANAL BIOPSY
17.31,78,Colorec resc,LAP MUL SEG RES LG INTES (Begin 2008)
17.32,78,Colorec resc,LAPAROSCOPIC CECECTOMY (Begin 2008)
17.33,78,Colorec resc,LAP RIGHT HEMICOLECTOMY (Begin 2008)
17.34,78,Colorec resc,LAP RES TRANSVERSE COLON (Begin 2008)
17.35,78,Colorec resc,LAP LEFT HEMICOLECTOMY (Begin 2008)
17.36,78,Colorec resc,LAP SIGMOIDECTOMY (Begin 2008)
17.39,78,Colorec resc,LAP PT EX LRG INTEST NEC (Begin 2008)
45.71,78,Colorec resc,MULT SEG LG BOWEL EXCIS
45.72,78,Colorec resc,CECECTOMY
45.73,78,Colorec resc,RIGHT HEMICOLECTOMY
45.74,78,Colorec resc,TRANSVERSE COLON RESECT
45.75,78,Colorec resc,LEFT HEMICOLECTOMY (Begin 1988)
45.76,78,Colorec resc,SIGMOIDECTOMY
45.79,78,Colorec resc,PART LG BOWEL EXCIS NEC
45.8,78,Colorec resc,TOT INTRA-ABD COLECTOMY (End 2008)
45.81,78,Colorec resc,LAP TOT INTR-AB COLECTMY (Begin 2008)
45.82,78,Colorec resc,OP TOT INTR-ABD COLECTMY (Begin 2008)
45.83,78,Colorec resc,TOT ABD COLECTMY NEC/NOS (Begin 2008)
48.40,78,Colorec resc,PULL-THRU RES RECTUM NOS (Begin 2008)
48.41,78,Colorec resc,SOAVE SUBMUC RECT RESECT
48.42,78,Colorec resc,LAP PULL-THRU RES RECTUM (Begin 2008)
48.43,78,Colorec resc,OPN PULL-THRU RES RECTUM (Begin 2008)
48.49,78,Colorec resc,PULL-THRU RECT RESEC NEC
48.5,78,Colorec resc,ABD-PERINEAL RECT RESECT (End 2008)
48.50,78,Colorec resc,ABDPERNEAL RES RECTM NOS (Begin 2008)
48.51,78,Colorec resc,LAP ABDPERNEAL RESC REC (Begin 2008)
48.52,78,Colorec resc,OPN ABDPERNEAL RESC REC (Begin 2008)
48.59,78,Colorec resc,ABDPERNEAL RESC RECT NEC (Begin 2008)
48.61,78,Colorec resc,TRANSSAC RECTOSIGMOIDECT
48.62,78,Colorec resc,ANT RECT RESECT W COLOST
48.63,78,Colorec resc,ANTERIOR RECT RESECT NEC
48.64,78,Colorec resc,POSTERIOR RECT RESECTION
48.65,78,Colorec resc,DUHAMEL RECTAL RESECTION
48.66,78,Colorec resc,HARTMANN RESECTION RECTUM (Begin 1980 End 1988)
48.69,78,Colorec resc,RECTAL RESECTION NEC
45.41,79,Rem coln les,EXCIS LG INTESTINE LES
47.0,80,Appendectomy,APPENDECTOMY (End 1996)
47.01,80,Appendectomy,LAPAROSCOP APPENDECT (Begin 1996)
